Acinetobacter	Aeromonas	Bacillus	Bacteroides	Bartonella	Bordetella	Borrelia	Brucella	Burkholderia	Campylobacter	Chlamydia	Clostridium	Corynebacterium	Coxiella	Enterobacter	Enterococcus	Escherichia	Francisellacf	Fusobacterium	Haemophilus	Helicobacter	Klebsiella	Kyrpidia	Legionella	Leptospira	Listeria	Mycobacterium	Mycoplasma	Neisseria	Pseudomonas	Rickettsia	Salmonella	Serratia	Shigella	Staphylococcus	Streptococcus	Vibrio	Yersinia	Group
ADMa1BRWINT	0.00108521990775631	0	0.000587827450034667	0	0	0	0	0	0	0	0	0.00520001205799897	0.000919422421849094	0	1.50724987188376e-05	0	7.5362493594188e-05	0	0	1.50724987188376e-05	0	0	0	0	0	0	0.00515479456184246	0	4.52174961565128e-05	0.000964639918005607	0	0	0	0	0.00357218219636451	7.5362493594188e-05	7.5362493594188e-05	0	Human Settlements
ADMa1KCWINT	0.0028202860337433	0	0.000100128498239407	1.66880830399012e-05	0	0	0	0	0	0	0	0.00101797306543397	0.00118485389583299	0	8.3440415199506e-05	0	0.000617459072476345	0	0	5.00642491197036e-05	0	0	0	1.66880830399012e-05	0	1.66880830399012e-05	0.0013183585601522	0	6.67523321596048e-05	0.00155199172271081	0	0	0	0	0.00218613887822706	0.00118485389583299	0.000150192747359111	0	Human Settlements
ADMa1LRWINT	0.00717660066338325	1.00512614333099e-05	0.000371896673032466	0	0	5.02563071665494e-05	0	5.02563071665494e-05	0	0	0	0.00125640767916373	0.00159815056789627	0	0.000100512614333099	1.00512614333099e-05	0.000432204241632325	0	0	0.000291486581565987	0	0	0	6.03075685998593e-05	0	0	0.00438234998492311	0	8.0410091466479e-05	0.00190973967232888	0	0	0	0	0.00217107246959493	0.00255302040406071	0.000351794150165846	0	Human Settlements
ADMa1TLWINT	0.000830288940551312	2.21410384147016e-05	0.000619949075611646	0	6.64231152441049e-05	0	0	0	0	0	0	0.00187091774604229	0.000697442710063102	0	7.74936344514558e-05	1.10705192073508e-05	0.000199269345732315	0	0	4.42820768294033e-05	0	0	0	0	0	2.21410384147016e-05	0.00923281301893059	0	0	0.000797077382929259	0	0	0	0	0.00233587955275102	0.000420679729879331	0.000298904018598472	0	Human Settlements
ADMb1BRWINT	0.00177931960608774	7.83348254252462e-05	0.0010183527305282	0.000223813786929275	0	1.11906893464637e-05	0	0	0.000134288272157565	0	0	0.000917636526410027	0.00157788719785139	0	0.00351387645478962	0	0.000581915846016115	0	0	0.000123097582811101	0	0	0	0	0	0	0.00208146821844226	0	0.000156669650850492	0.00279767233661594	0	0.000525962399283796	0	0	0.0112802148612355	0.00386078782452999	0.00212623097582811	0.000123097582811101	Human Settlements
ADMb1KCWINT	0.00130731546210161	0	0.000688060769527165	0.000426597677106842	0	1.37612153905433e-05	0	0	0	0	0	0.000811911708042054	0.00104585236968129	0	0.000922001431166401	2.75224307810866e-05	0.00012385093851489	0	0	2.75224307810866e-05	0	0	0	0	0	0	0.000522926184840645	0	1.37612153905433e-05	0.000357791600154126	0	0	0	0	0.0102245830351737	0.00388066274013321	0.00261463092420323	1.37612153905433e-05	Human Settlements
ADMb1LRWINT	0.00159467071335794	1.28602476883705e-05	0.000167183219948816	2.5720495376741e-05	0	1.28602476883705e-05	0	2.5720495376741e-05	0	0	0	0.000835916099744081	0.000771614861302229	0	0.00102881981506964	2.5720495376741e-05	5.14409907534819e-05	0	0	7.71614861302229e-05	0	0	0	0	0	0	0.000848776347432452	0	1.28602476883705e-05	0.00133746575959053	0	1.28602476883705e-05	0	0	0.00453966743399478	0.000913077585874304	0.00185187566712535	0	Human Settlements
ADMb1TLWINT	0.00750195399732023	6.97856185797231e-06	0.000753684680661009	0.000279142474318892	1.39571237159446e-05	4.88499330058062e-05	0	0.000104678427869585	0.000167485484591335	0	0	0.000690877623939259	0.00326596694953104	0	0.00173766190263511	1.39571237159446e-05	0.0009072130415364	0	0	0.000174464046449308	0	0	0	2.79142474318892e-05	0	0	0.0023447967842787	0	0.000334970969182671	0.00207961143367575	0	8.37427422956677e-05	0	0	0.0204960361768647	0.00744612550245645	0.00192608307280036	0	Human Settlements
FH1BRWINT	0.000419052940354798	9.77790194161196e-05	0.00121525352702891	1.39684313451599e-05	0	1.39684313451599e-05	0	0	0	0	0	0.00152255901662243	0.00101969548819668	0	0.000740326861293477	0	0.000139684313451599	0	0.000125715882106439	0.00011174745076128	0	0	0	0	0	0	0.00198351725101271	0	2.79368626903199e-05	0.000628579410532197	0	0	0	0	0.00134096940913535	0.00153652744796759	0.0106998184103925	0	Human Settlements
FH1KCWINT	0.000268770454222068	0.000205530347346287	0.000426870721411519	0.000173910293908397	0	0	0	1.58100267189452e-05	0	0	0	0.00219759371393338	0.0004901108282873	0	0.00102765173673144	1.58100267189452e-05	0.000458490774849409	0	0	7.90501335947258e-05	0	0	0	0	0	0	0.000822121389385148	0	6.32401068757806e-05	0.000869551469541984	0	0	0	0	0.00107508181688827	0.00175491296580291	0.00526473889740874	3.16200534378903e-05	Human Settlements
